one_hot__agent_tone_angry,one_hot__agent_tone_calm,one_hot__agent_tone_frustrated,one_hot__agent_tone_neutral,one_hot__agent_tone_polite,one_hot__customer_tone_angry,one_hot__customer_tone_calm,one_hot__customer_tone_frustrated,one_hot__customer_tone_neutral,one_hot__customer_tone_polite,remainder__call_duration,remainder__average_sentiment,remainder__elite_level_code,predicted_primary_call_reason
0,0,0,1,0,0,0,0,0,1,600,0.23,0,Irrops
0,0,0,1,0,0,1,0,0,0,660,-0.03,0,Upgrade
0,0,0,1,0,0,0,0,0,1,180,0,1,Other_Topics
0,1,0,0,0,1,0,0,0,0,840,0.15,0,Seating
0,0,1,0,0,1,0,0,0,0,1380,-0.31,0,Irrops
0,1,0,0,0,1,0,0,0,0,1440,0.02,0,Voluntary_Change
0,0,0,1,0,0,1,0,0,0,1140,-0.1,0,Communications
0,1,0,0,0,0,0,0,0,1,600,0.07,0,Irrops
0,0,0,1,0,1,0,0,0,0,1260,-0.12,0,Mileage_Plus
0,0,0,1,0,1,0,0,0,0,960,0,0,Irrops
0,1,0,0,0,0,0,0,1,0,720,0.43,2,Seating
0,1,0,0,0,0,0,0,0,1,1080,0.08,0,Irrops
0,0,0,1,0,0,0,0,1,0,720,-0.15,0,Irrops
0,0,0,1,0,0,0,0,1,0,660,-0.04,1,Voluntary_Change
0,0,0,1,0,0,0,1,0,0,720,0,0,Seating
0,1,0,0,0,0,0,0,0,1,480,0.15,0,Baggage
0,0,0,1,0,0,1,0,0,0,840,-0.04,3,Baggage
0,0,0,1,0,0,0,0,0,1,1080,0,0,Voluntary_Change
0,1,0,0,0,0,1,0,0,0,1200,0.06,1,Voluntary_Change
0,1,0,0,0,0,1,0,0,0,1020,0.03,0,Voluntary_Change
0,0,0,1,0,0,0,0,1,0,600,-0.24,0,Irrops
0,0,0,1,0,0,0,1,0,0,1380,-0.18,0,Upgrade
0,1,0,0,0,0,0,0,0,1,540,0.08,0,Mileage_Plus
0,0,1,0,0,0,1,0,0,0,2040,-0.29,0,Products_And_Services
0,0,0,1,0,0,1,0,0,0,1140,-0.1,0,Communications
0,1,0,0,0,0,0,1,0,0,1200,0.02,0,Voluntary_Change
0,0,0,1,0,0,0,1,0,0,780,-0.13,2,Voluntary_Change
0,1,0,0,0,0,0,0,0,1,600,0.11,0,Voluntary_Change
0,0,0,1,0,0,0,1,0,0,1680,-0.04,1,Post_Flight
0,1,0,0,0,0,1,0,0,0,1140,0.06,0,Voluntary_Change
0,0,0,1,0,0,0,0,0,1,6660,0.05,1,Post_Flight
0,1,0,0,0,0,1,0,0,0,720,0.12,0,Voluntary_Change
0,1,0,0,0,1,0,0,0,0,1560,0.08,0,Irrops
0,0,0,1,0,0,0,0,0,1,840,0.22,0,Irrops
0,0,0,1,0,0,0,1,0,0,900,-0.09,2,Seating
0,0,0,1,0,0,0,0,1,0,600,0,0,Voluntary_Change
0,0,1,0,0,0,0,1,0,0,1620,-0.35,2,Mileage_Plus
0,0,0,1,0,0,0,0,1,0,480,0,3,Baggage
0,1,0,0,0,0,1,0,0,0,900,0.2,0,Voluntary_Cancel
0,0,0,1,0,0,0,0,0,1,1320,0.1,1,Voluntary_Change
0,0,0,1,0,0,0,1,0,0,660,-0.08,0,Irrops
0,0,0,1,0,1,0,0,0,0,660,-0.03,0,Baggage
0,0,0,1,0,0,1,0,0,0,780,-0.1,3,Disability
0,0,0,1,0,0,0,1,0,0,660,-0.16,0,Communications
0,0,0,1,0,0,0,0,1,0,1200,-0.08,0,Voluntary_Change
0,0,0,1,0,0,0,0,1,0,540,0,0,Irrops
0,0,0,1,0,0,0,0,0,1,900,0.06,1,Baggage
0,0,0,1,0,1,0,0,0,0,600,0,2,Voluntary_Change
0,1,0,0,0,0,0,0,0,1,900,0.11,1,Voluntary_Change
0,0,0,1,0,0,0,1,0,0,840,-0.02,0,Seating
0,0,0,1,0,1,0,0,0,0,600,-0.11,0,Irrops
0,0,0,1,0,0,0,0,0,1,300,0.2,0,Booking
0,0,0,1,0,0,0,0,1,0,300,0,0,Booking
1,0,0,0,0,0,0,0,1,0,720,-0.52,3,Mileage_Plus
0,1,0,0,0,0,0,1,0,0,960,0.06,1,Irrops
0,1,0,0,0,0,0,0,1,0,600,0.26,0,Voluntary_Change
0,1,0,0,0,0,1,0,0,0,420,0.17,1,Communications
0,1,0,0,0,0,0,1,0,0,720,0.24,0,Seating
0,1,0,0,0,1,0,0,0,0,660,0.14,1,Mileage_Plus
0,1,0,0,0,1,0,0,0,0,1020,0.04,2,Irrops
0,0,1,0,0,1,0,0,0,0,720,-0.27,0,Irrops
0,1,0,0,0,0,0,0,0,1,3600,0.06,0,Checkout
0,1,0,0,0,1,0,0,0,0,1020,0.04,1,Seating
0,0,0,1,0,1,0,0,0,0,780,-0.19,0,Irrops
0,0,0,1,0,0,0,0,1,0,1320,-0.12,3,Irrops
0,1,0,0,0,1,0,0,0,0,1080,0.07,0,Voluntary_Change
0,1,0,0,0,0,0,1,0,0,780,0.02,2,Communications
0,0,0,1,0,1,0,0,0,0,960,-0.14,0,Irrops
0,0,0,1,0,0,1,0,0,0,1080,-0.05,2,Mileage_Plus
0,0,0,1,0,0,0,0,1,0,480,-0.22,0,Disability
0,0,0,1,0,0,0,0,1,0,660,-0.12,2,Irrops
0,0,0,1,0,0,1,0,0,0,1260,-0.19,3,Irrops
0,0,0,1,0,0,0,1,0,0,900,-0.1,0,Voluntary_Cancel
0,1,0,0,0,0,0,0,0,1,840,0.01,1,Products_And_Services
0,1,0,0,0,0,0,0,0,1,960,0.03,0,Seating
0,0,0,1,0,1,0,0,0,0,1020,0,2,Voluntary_Change
0,0,0,1,0,1,0,0,0,0,360,0,0,Booking
0,1,0,0,0,0,0,0,1,0,1080,0.05,0,Voluntary_Change
0,1,0,0,0,0,0,1,0,0,840,0.01,0,Seating
0,0,0,1,0,1,0,0,0,0,660,-0.03,1,Products_And_Services
0,0,0,1,0,0,1,0,0,0,480,-0.21,2,Irrops
0,0,0,1,0,0,0,0,0,1,4080,0.02,5,Mileage_Plus
0,1,0,0,0,0,1,0,0,0,720,0.04,1,Irrops
0,1,0,0,0,0,0,0,0,1,1980,0.02,3,Communications
0,0,0,1,0,0,0,0,0,1,3480,0.09,1,Irrops
0,1,0,0,0,0,0,1,0,0,1860,0.1,0,Voluntary_Cancel
0,0,0,1,0,0,1,0,0,0,2520,-0.04,0,Voluntary_Change
0,1,0,0,0,0,0,0,0,1,840,0.05,1,Seating
0,1,0,0,0,0,1,0,0,0,1080,0.06,0,Voluntary_Change
0,1,0,0,0,0,0,1,0,0,540,0.11,0,Irrops
0,0,0,1,0,0,0,1,0,0,900,-0.12,0,Check_In
0,1,0,0,0,1,0,0,0,0,840,0.11,0,Voluntary_Change
0,1,0,0,0,0,0,1,0,0,1140,0.02,2,Mileage_Plus
0,0,0,1,0,0,0,0,0,1,1800,0.04,0,Irrops
0,0,0,1,0,0,0,0,0,1,780,0.15,1,Voluntary_Change
0,0,0,1,0,0,0,0,1,0,1500,-0.04,4,Mileage_Plus
0,0,0,1,0,0,0,0,0,1,1500,0.1,4,Irrops
0,0,0,1,0,0,0,1,0,0,1860,-0.18,2,Voluntary_Cancel
0,1,0,0,0,1,0,0,0,0,360,0.14,3,Booking
0,0,0,1,0,0,0,1,0,0,660,-0.06,1,Communications
0,0,0,1,0,0,0,0,1,0,1440,-0.01,1,Irrops
0,1,0,0,0,1,0,0,0,0,660,0.1,0,Products_And_Services
0,1,0,0,0,0,0,0,1,0,960,0.12,0,Seating
0,0,0,1,0,1,0,0,0,0,1980,-0.09,0,Mileage_Plus
0,0,1,0,0,1,0,0,0,0,660,-0.36,0,Seating
0,1,0,0,0,0,0,1,0,0,720,0.07,0,Baggage
0,0,0,1,0,0,0,0,0,1,600,0.22,3,Irrops
0,1,0,0,0,0,0,1,0,0,420,0.03,2,Irrops
0,1,0,0,0,0,0,1,0,0,720,0.01,1,Upgrade
0,1,0,0,0,0,1,0,0,0,780,0.06,1,Voluntary_Change
0,1,0,0,0,1,0,0,0,0,1020,0.06,0,Seating
0,0,0,1,0,0,0,0,0,1,720,0,0,Seating
0,0,0,1,0,0,1,0,0,0,600,0,0,Irrops
0,0,0,1,0,1,0,0,0,0,1200,-0.13,4,Post_Flight
0,0,0,1,0,0,0,1,0,0,360,-0.05,2,Irrops
0,1,0,0,0,0,1,0,0,0,1560,0.01,0,Post_Flight
0,0,0,1,0,1,0,0,0,0,420,0,0,Booking
0,0,0,1,0,0,0,1,0,0,780,-0.18,0,Upgrade
0,0,0,1,0,0,1,0,0,0,1500,-0.07,0,Communications
0,0,0,1,0,0,0,0,1,0,780,-0.07,0,Irrops
0,1,0,0,0,0,0,1,0,0,660,0.03,2,Digital_Support
0,0,0,1,0,0,1,0,0,0,960,-0.09,0,Seating
0,1,0,0,0,0,0,0,0,1,780,0.03,2,Etc
0,1,0,0,0,0,0,0,1,0,1260,0.02,2,Irrops
0,1,0,0,0,0,0,0,1,0,480,0.25,0,Baggage
0,1,0,0,0,0,0,0,0,1,840,0.03,0,Voluntary_Change
0,0,0,1,0,1,0,0,0,0,960,-0.06,2,Post_Flight
0,0,0,1,0,0,0,1,0,0,3240,-0.13,0,Irrops
0,0,0,1,0,0,0,1,0,0,720,0,1,Seating
0,1,0,0,0,0,0,1,0,0,540,0.03,3,Irrops
0,0,0,1,0,1,0,0,0,0,4440,-0.08,0,Check_In
0,0,0,1,0,0,0,0,1,0,2940,0,0,Communications
0,1,0,0,0,0,0,1,0,0,1020,0.05,0,Irrops
0,1,0,0,0,1,0,0,0,0,480,0.04,0,Voluntary_Change
0,1,0,0,0,0,0,1,0,0,1440,0.04,0,Upgrade
0,0,0,1,0,0,1,0,0,0,720,-0.11,0,Baggage
0,1,0,0,0,0,0,0,0,1,1260,0.06,0,Post_Flight
0,1,0,0,0,0,1,0,0,0,1380,0.02,0,Upgrade
0,1,0,0,0,0,0,0,0,1,1980,0.02,2,Voluntary_Cancel
0,1,0,0,0,0,0,1,0,0,1860,0.09,0,Upgrade
0,0,0,1,0,0,0,1,0,0,1200,-0.24,0,Post_Flight
0,0,0,1,0,0,1,0,0,0,360,-0.08,0,Booking
0,1,0,0,0,1,0,0,0,0,720,0.24,0,Irrops
0,0,0,1,0,0,0,0,0,1,1020,0.04,0,Seating
0,1,0,0,0,1,0,0,0,0,420,0.04,0,Booking
0,0,0,1,0,0,0,1,0,0,2100,-0.14,1,Irrops
0,0,0,1,0,0,0,0,0,1,2580,0,0,Upgrade
0,0,0,1,0,1,0,0,0,0,1560,-0.08,0,Voluntary_Change
0,0,0,1,0,0,0,0,0,1,240,0,2,Booking
0,0,0,1,0,0,1,0,0,0,1380,-0.21,0,Booking
0,1,0,0,0,0,0,0,1,0,3660,0.02,2,Mileage_Plus
0,0,0,1,0,0,0,0,1,0,1380,-0.13,0,Voluntary_Change
0,0,0,1,0,1,0,0,0,0,480,0,0,Irrops
0,0,0,1,0,0,0,0,0,1,600,0.12,0,Voluntary_Change
0,0,0,1,0,0,0,1,0,0,1980,-0.07,0,Upgrade
0,1,0,0,0,0,1,0,0,0,720,0.04,0,Voluntary_Change
0,1,0,0,0,0,0,0,0,1,1020,0.08,0,Seating
0,0,0,1,0,0,0,0,0,1,420,0.18,0,Irrops
0,0,0,1,0,0,0,0,0,1,1020,0.16,4,Etc
0,1,0,0,0,0,1,0,0,0,840,0.09,0,Voluntary_Change
0,0,0,1,0,0,0,0,0,1,2760,0.16,3,Checkout
0,1,0,0,0,0,1,0,0,0,900,0.06,2,Post_Flight
0,0,0,1,0,0,1,0,0,0,360,0,0,Booking
0,0,0,1,0,0,0,0,0,1,1140,0.14,4,Irrops
0,1,0,0,0,1,0,0,0,0,1080,0.01,0,Voluntary_Change
0,0,1,0,0,0,0,0,1,0,900,-0.33,0,Irrops
0,0,0,1,0,1,0,0,0,0,900,-0.05,2,Irrops
0,0,0,1,0,1,0,0,0,0,3000,-0.18,2,Irrops
0,0,0,1,0,0,0,1,0,0,660,0,0,Seating
0,1,0,0,0,0,0,0,1,0,2580,0.01,0,Voluntary_Change
0,1,0,0,0,0,1,0,0,0,720,0.09,2,Seating
0,1,0,0,0,0,1,0,0,0,600,0.28,0,Seating
0,0,0,1,0,0,0,1,0,0,840,0,0,Seating
0,0,0,1,0,0,0,0,1,0,2040,-0.2,0,Post_Flight
0,0,0,1,0,1,0,0,0,0,1860,-0.22,0,Irrops
0,1,0,0,0,0,0,1,0,0,3300,0.01,0,Irrops
0,0,0,1,0,1,0,0,0,0,1980,-0.1,2,Checkout
0,0,0,1,0,0,0,0,0,1,720,0,0,Seating
0,0,0,1,0,0,0,0,0,1,1260,0.06,0,Voluntary_Change
0,0,0,1,0,1,0,0,0,0,780,0,0,Voluntary_Change
0,0,0,1,0,0,0,0,0,1,1020,0.02,2,Irrops
0,1,0,0,0,0,0,1,0,0,720,0.08,0,Irrops
0,0,0,1,0,1,0,0,0,0,1020,-0.24,0,Irrops
0,1,0,0,0,0,0,1,0,0,600,0.1,1,Voluntary_Change
0,0,0,1,0,0,0,0,1,0,1800,-0.01,0,Voluntary_Change
0,1,0,0,0,0,1,0,0,0,840,0.05,1,Booking
0,1,0,0,0,0,0,0,1,0,240,0.21,1,Booking
0,1,0,0,0,1,0,0,0,0,1140,0.02,0,Irrops
0,0,0,1,0,0,0,1,0,0,660,-0.04,0,Post_Flight
0,0,0,1,0,0,0,1,0,0,5160,-0.14,3,Mileage_Plus
0,0,0,1,0,0,0,0,0,1,3480,0.06,0,Checkout
0,1,0,0,0,0,0,1,0,0,480,0.07,3,Check_In
0,1,0,0,0,0,0,0,0,1,960,0.05,0,Voluntary_Change
0,0,1,0,0,0,0,0,1,0,1080,-0.37,0,Irrops
0,0,0,1,0,1,0,0,0,0,900,-0.08,0,Voluntary_Change
0,1,0,0,0,0,0,1,0,0,7440,0.01,5,Mileage_Plus
0,0,0,1,0,1,0,0,0,0,900,-0.03,0,Voluntary_Change
0,0,1,0,0,0,0,0,1,0,480,-0.26,3,Mileage_Plus
0,1,0,0,0,0,0,0,1,0,1860,0.02,2,Mileage_Plus
0,1,0,0,0,1,0,0,0,0,1680,0.11,1,Voluntary_Change
0,0,0,1,0,0,0,1,0,0,1140,-0.16,3,Upgrade
0,0,0,1,0,0,0,0,0,1,1080,0.11,1,Mileage_Plus
0,0,0,1,0,0,0,0,0,1,900,0.13,1,Upgrade
0,0,0,1,0,0,1,0,0,0,1500,-0.11,3,Voluntary_Change
0,0,0,1,0,0,0,0,0,1,720,0.09,2,Voluntary_Change
0,1,0,0,0,0,1,0,0,0,480,0.31,0,Irrops
0,1,0,0,0,1,0,0,0,0,1320,0.06,1,Seating
0,0,0,1,0,0,0,0,0,1,600,0.19,4,Voluntary_Change
0,0,0,1,0,1,0,0,0,0,1620,-0.2,2,Checkout
0,0,0,1,0,0,0,0,1,0,1020,-0.11,1,Seating
0,1,0,0,0,1,0,0,0,0,2700,0.05,1,Voluntary_Change
0,1,0,0,0,0,0,0,1,0,2340,0.25,0,Voluntary_Change
0,1,0,0,0,1,0,0,0,0,360,0.13,0,Products_And_Services
0,0,1,0,0,1,0,0,0,0,660,-0.28,0,Irrops
0,1,0,0,0,1,0,0,0,0,1140,0.01,0,Voluntary_Change
0,1,0,0,0,0,0,1,0,0,2400,0.02,1,Etc
0,0,0,1,0,1,0,0,0,0,420,-0.2,0,Schedule_Change
0,1,0,0,0,0,1,0,0,0,780,0.08,0,Irrops
0,1,0,0,0,0,0,0,0,1,1560,0.1,2,Post_Flight
0,0,0,1,0,0,0,1,0,0,540,-0.21,0,Other_Topics
0,0,0,1,0,0,1,0,0,0,1140,-0.08,0,Products_And_Services
0,1,0,0,0,0,1,0,0,0,900,0.14,1,Voluntary_Change
0,0,0,1,0,0,0,0,1,0,5160,-0.05,0,Irrops
0,0,0,1,0,0,0,0,1,0,960,-0.12,4,Mileage_Plus
0,1,0,0,0,0,0,0,1,0,720,0.05,0,Voluntary_Change
0,1,0,0,0,1,0,0,0,0,1980,0.06,0,Voluntary_Cancel
0,0,1,0,0,0,0,1,0,0,600,-0.26,2,Irrops
0,0,0,1,0,0,0,1,0,0,2220,-0.08,0,Checkout
0,1,0,0,0,0,0,1,0,0,1560,0.3,2,Voluntary_Change
0,0,0,1,0,0,0,1,0,0,1320,-0.21,0,Irrops
0,0,0,1,0,0,0,1,0,0,1740,-0.21,0,Irrops
0,0,0,1,0,0,0,1,0,0,360,-0.06,0,Communications
0,1,0,0,0,0,0,0,0,1,2400,0.19,0,Irrops
0,0,0,1,0,0,0,0,0,1,720,0.05,4,Mileage_Plus
0,0,0,1,0,0,0,0,1,0,1020,-0.14,1,Traveler_Updates
0,1,0,0,0,0,0,0,1,0,420,0.26,1,Irrops
0,0,0,1,0,0,1,0,0,0,1200,-0.11,3,Products_And_Services
0,0,0,1,0,1,0,0,0,0,480,-0.17,0,Products_And_Services
0,0,0,1,0,0,1,0,0,0,2940,-0.1,0,Irrops
0,0,1,0,0,0,0,0,0,1,660,0.26,0,Irrops
0,1,0,0,0,0,0,0,0,1,840,0.14,0,Baggage
0,0,0,1,0,0,0,1,0,0,480,-0.02,0,Voluntary_Change
0,0,0,1,0,0,0,0,0,1,900,0,2,Seating
0,0,0,1,0,0,0,0,1,0,1020,0,0,Voluntary_Change
0,0,0,1,0,0,1,0,0,0,2160,-0.2,3,Irrops
0,0,0,1,0,0,0,0,0,1,1680,0.02,0,Irrops
0,1,0,0,0,0,0,0,0,1,840,0.06,2,Products_And_Services
0,0,0,1,0,1,0,0,0,0,1920,-0.06,3,Etc
0,0,0,1,0,0,0,0,1,0,420,-0.18,2,Check_In
0,0,0,1,0,1,0,0,0,0,1620,0,1,Irrops
0,1,0,0,0,1,0,0,0,0,900,0.03,2,Voluntary_Change
0,0,0,1,0,1,0,0,0,0,960,-0.14,0,Irrops
0,1,0,0,0,0,0,0,1,0,1380,0.11,0,Seating
0,0,0,1,0,0,0,0,1,0,600,-0.06,0,Irrops
0,0,0,1,0,0,0,0,0,1,540,0.15,1,Booking
0,0,0,1,0,0,0,1,0,0,300,-0.05,1,Booking
0,0,0,1,0,0,0,0,1,0,1680,-0.09,1,Irrops
0,0,0,1,0,0,0,0,1,0,1620,-0.1,0,Seating
0,1,0,0,0,0,0,1,0,0,1020,0.05,0,Irrops
0,0,0,1,0,1,0,0,0,0,1320,-0.01,2,Communications
0,1,0,0,0,0,0,0,0,1,660,0.1,0,Voluntary_Change
0,1,0,0,0,0,1,0,0,0,840,0.05,0,Voluntary_Change
0,0,1,0,0,0,0,0,1,0,420,-0.32,2,Irrops
0,1,0,0,0,0,0,0,1,0,1500,0.11,0,Seating
0,0,0,1,0,0,1,0,0,0,1020,-0.03,3,Mileage_Plus
0,1,0,0,0,0,0,1,0,0,780,0.17,3,Voluntary_Change
0,1,0,0,0,0,1,0,0,0,1320,0.02,1,Seating
0,0,0,1,0,0,0,0,1,0,300,0,1,Booking
0,0,0,1,0,1,0,0,0,0,360,-0.08,0,Booking
0,1,0,0,0,0,0,0,1,0,1260,0.05,1,Mileage_Plus
0,0,0,1,0,0,0,0,0,1,780,0.06,0,Seating
0,1,0,0,0,0,0,1,0,0,1260,0.03,0,Seating
0,0,0,1,0,0,1,0,0,0,900,-0.04,0,Irrops
0,1,0,0,0,0,1,0,0,0,1320,0.01,2,Post_Flight
0,1,0,0,0,0,1,0,0,0,1080,0.03,0,Post_Flight
0,0,0,1,0,1,0,0,0,0,2100,-0.03,2,Products&Services
0,0,0,1,0,0,1,0,0,0,1260,-0.2,0,Post_Flight
0,1,0,0,0,0,1,0,0,0,360,0.19,0,Irrops
0,0,0,1,0,0,0,0,1,0,840,0,0,Voluntary_Change
0,0,0,1,0,1,0,0,0,0,1140,-0.06,0,Post_Flight
0,0,0,1,0,0,0,0,0,1,600,0.07,0,Irrops
0,1,0,0,0,0,0,0,0,1,1200,0.13,0,Post_Flight
0,0,0,1,0,0,0,0,0,1,900,0.25,0,Irrops
0,0,0,1,0,0,0,0,1,0,2040,-0.11,2,Voluntary_Change
0,0,0,1,0,0,0,1,0,0,780,0,0,Voluntary_Change
0,0,0,1,0,0,0,0,1,0,1740,0,0,Irrops
0,1,0,0,0,0,0,1,0,0,720,0.04,0,Irrops
0,0,0,1,0,0,0,0,0,1,660,0.05,0,Voluntary_Change
0,0,0,1,0,0,0,0,0,1,3480,0.01,3,Voluntary_Cancel
0,0,0,1,0,0,0,0,0,1,720,0,0,Seating
0,0,0,1,0,1,0,0,0,0,960,-0.2,3,Post_Flight
0,1,0,0,0,0,0,0,0,1,2220,0.07,1,Voluntary_Change
0,0,0,1,0,0,0,0,1,0,1200,-0.2,1,Booking
0,0,1,0,0,0,0,0,0,1,900,0.43,0,Irrops
0,0,0,1,0,1,0,0,0,0,1260,-0.02,1,Voluntary_Change
0,1,0,0,0,0,1,0,0,0,360,0.33,1,Schedule_Change
0,0,0,1,0,0,0,0,1,0,360,0,0,Booking
0,0,0,1,0,0,0,0,1,0,840,0,0,Voluntary_Change
0,1,0,0,0,0,0,1,0,0,780,0.24,5,Mileage_Plus
0,1,0,0,0,0,0,0,1,0,2340,0.03,1,Mileage_Plus
0,0,0,1,0,0,1,0,0,0,600,-0.21,5,Mileage_Plus
0,1,0,0,0,0,1,0,0,0,2400,0.04,1,Irrops
0,0,0,1,0,0,0,1,0,0,1020,-0.01,0,Mileage_Plus
0,1,0,0,0,0,0,0,1,0,1020,0.09,3,Mileage_Plus
0,0,0,1,0,1,0,0,0,0,1440,0,3,Products_And_Services
0,0,0,1,0,1,0,0,0,0,2100,-0.05,4,Mileage_Plus
0,0,0,1,0,0,0,0,1,0,420,-0.04,1,Booking
0,1,0,0,0,1,0,0,0,0,1080,0.16,2,Voluntary_Change
0,1,0,0,0,0,0,0,0,1,2580,0.02,0,Voluntary_Change
0,0,0,1,0,0,0,0,0,1,5340,0.01,3,Checkout
0,1,0,0,0,0,0,1,0,0,2040,0.15,0,Voluntary_Change
0,1,0,0,0,0,0,0,0,1,1980,0.01,0,Upgrade
0,0,0,1,0,0,1,0,0,0,1080,-0.22,2,Voluntary_Cancel
0,0,0,1,0,0,0,0,1,0,840,-0.13,1,Etc
0,0,0,1,0,1,0,0,0,0,600,-0.18,0,Voluntary_Change
0,0,0,1,0,0,1,0,0,0,1560,-0.12,0,Traveler_Updates
0,0,0,1,0,0,0,0,1,0,480,-0.12,2,Products_And_Services
0,0,0,1,0,1,0,0,0,0,840,-0.05,0,Seating
0,0,0,1,0,0,0,0,0,1,840,0.23,1,Seating
0,0,0,1,0,0,0,1,0,0,1080,-0.13,0,Post_Flight
0,0,0,1,0,0,1,0,0,0,240,0,2,Products_And_Services
0,1,0,0,0,0,0,0,1,0,660,0.13,2,Irrops
0,1,0,0,0,0,0,0,1,0,840,0.08,1,Seating
0,0,0,1,0,0,1,0,0,0,1140,-0.03,4,Etc
0,0,0,1,0,1,0,0,0,0,1500,-0.03,0,Irrops
0,1,0,0,0,0,0,0,1,0,2280,0.05,0,Post_Flight
0,0,0,1,0,0,1,0,0,0,1140,-0.18,0,Post_Flight
0,0,0,1,0,0,0,0,0,1,540,0.1,0,Irrops
0,0,0,1,0,0,0,1,0,0,900,-0.05,3,Voluntary_Change
0,1,0,0,0,0,0,0,0,1,900,0.27,0,Voluntary_Change
0,0,0,1,0,1,0,0,0,0,600,0,0,Seating
0,0,0,1,0,1,0,0,0,0,1200,-0.02,1,Voluntary_Cancel
0,0,0,1,0,0,0,0,0,1,1920,0.1,0,Seating
0,0,0,1,0,0,0,0,1,0,420,-0.13,0,Upgrade
0,0,0,1,0,0,0,1,0,0,840,0,2,Seating
0,0,0,1,0,1,0,0,0,0,1800,-0.07,0,Mileage_Plus
0,0,0,1,0,0,0,0,0,1,360,0.07,1,Irrops
